trade_id,trade_date,day_of_week,trade_time,market_cap_bucket,industry,return_pct,win_loss
1,1/2/2024,Tuesday,9:35,SME,Retail,-1.25,0
2,1/2/2024,Tuesday,10:15,Large,Banking,0.85,1
3,1/3/2024,Wednesday,11:00,Medium,Property,-0.4,0
4,1/3/2024,Wednesday,14:20,Large,Technology,1.75,1
5,1/4/2024,Thursday,9:50,SME,Energy,-2.1,0
6,1/4/2024,Thursday,13:10,Medium,Retail,0.6,1
7,1/5/2024,Friday,15:30,SME,Property,-1.9,0
8,1/5/2024,Friday,10:40,Large,Banking,0.45,1
9,1/8/2024,Monday,9:40,SME,Technology,-1.5,0
10,1/8/2024,Monday,14:50,Medium,Energy,-0.3,0
11,1/9/2024,Tuesday,11:25,Large,Retail,1.2,1
12,1/9/2024,Tuesday,15:10,SME,Banking,-2.3,0
13,1/10/2024,Wednesday,10:05,Medium,Technology,0.95,1
14,1/10/2024,Wednesday,13:40,SME,Property,-1.1,0
15,1/11/2024,Thursday,9:45,Large,Energy,0.7,1
16,1/11/2024,Thursday,14:30,Medium,Banking,-0.55,0
17,1/12/2024,Friday,10:20,SME,Retail,-1.8,0
18,1/12/2024,Friday,15:40,Large,Technology,2.1,1
19,1/15/2024,Monday,9:50,Medium,Property,-0.65,0
20,1/15/2024,Monday,13:00,Large,Banking,0.9,1
21,1/16/2024,Tuesday,10:35,SME,Energy,-1.35,0
22,1/16/2024,Tuesday,14:45,Medium,Retail,0.4,1
23,1/17/2024,Wednesday,9:55,SME,Banking,-2,0
24,1/17/2024,Wednesday,11:50,Large,Property,1.1,1
25,1/18/2024,Thursday,13:25,Medium,Technology,0.8,1
26,1/18/2024,Thursday,15:15,SME,Retail,-1.6,0
27,1/19/2024,Friday,10:10,Large,Energy,0.55,1
28,1/19/2024,Friday,14:55,Medium,Banking,-0.75,0
29,1/22/2024,Monday,9:45,SME,Property,-1.95,0
30,1/22/2024,Monday,11:35,Large,Technology,1.65,1
31,1/23/2024,Tuesday,10:00,Medium,Retail,0.35,1
32,1/23/2024,Tuesday,15:20,SME,Energy,-1.7,0
33,1/24/2024,Wednesday,9:40,SME,Banking,-2.4,0
34,1/24/2024,Wednesday,14:10,Large,Property,1.3,1
35,1/25/2024,Thursday,10:30,Medium,Technology,0.75,1
36,1/25/2024,Thursday,15:35,SME,Retail,-1.85,0
37,1/26/2024,Friday,11:15,Large,Banking,0.95,1
38,1/26/2024,Friday,14:50,Medium,Energy,-0.9,0
39,1/29/2024,Monday,9:55,SME,Technology,-1.55,0
40,1/29/2024,Monday,13:45,Large,Retail,1.05,1
41,1/30/2024,Tuesday,10:25,Medium,Property,-0.6,0
42,1/30/2024,Tuesday,15:05,SME,Banking,-2.15,0
43,1/31/2024,Wednesday,11:40,Large,Energy,0.65,1
44,1/31/2024,Wednesday,14:35,Medium,Retail,0.5,1
45,2/1/2024,Thursday,9:45,SME,Property,-1.45,0
46,2/1/2024,Thursday,13:20,Large,Technology,1.9,1
47,2/2/2024,Friday,10:15,Medium,Banking,0.7,1
48,2/2/2024,Friday,15:30,SME,Energy,-1.65,0
49,2/5/2024,Monday,9:35,SME,Retail,-2.05,0
50,2/5/2024,Monday,14:00,Large,Property,1.25,1
51,2/6/2024,Tuesday,9:40,SME,Banking,-1.9,0
52,2/6/2024,Tuesday,11:10,Large,Technology,1.6,1
53,2/7/2024,Wednesday,10:05,Medium,Retail,0.45,1
54,2/7/2024,Wednesday,14:30,SME,Property,-1.25,0
55,2/8/2024,Thursday,9:50,SME,Energy,-2.2,0
56,2/8/2024,Thursday,13:15,Large,Banking,0.85,1
57,2/9/2024,Friday,10:35,Medium,Technology,0.9,1
58,2/9/2024,Friday,15:40,SME,Retail,-1.75,0
59,2/12/2024,Monday,9:45,SME,Property,-2.05,0
60,2/12/2024,Monday,14:10,Large,Energy,1.1,1
61,2/13/2024,Tuesday,10:20,Medium,Banking,-0.55,0
62,2/13/2024,Tuesday,15:05,SME,Retail,-1.65,0
63,2/14/2024,Wednesday,11:35,Large,Property,1.35,1
64,2/14/2024,Wednesday,14:45,Medium,Energy,-0.7,0
65,2/15/2024,Thursday,9:55,SME,Technology,-1.4,0
66,2/15/2024,Thursday,13:25,Large,Retail,0.95,1
67,2/16/2024,Friday,10:10,Medium,Property,0.5,1
68,2/16/2024,Friday,15:30,SME,Banking,-2.3,0
69,2/19/2024,Monday,9:35,SME,Energy,-1.85,0
70,2/19/2024,Monday,14:00,Large,Technology,1.7,1
71,2/20/2024,Tuesday,10:45,Medium,Retail,0.4,1
72,2/20/2024,Tuesday,15:20,SME,Property,-1.55,0
73,2/21/2024,Wednesday,9:50,SME,Banking,-2.1,0
74,2/21/2024,Wednesday,11:55,Large,Energy,0.75,1
75,2/22/2024,Thursday,13:30,Medium,Technology,0.85,1
76,2/22/2024,Thursday,15:10,SME,Retail,-1.95,0
77,2/23/2024,Friday,10:25,Large,Banking,0.9,1
78,2/23/2024,Friday,14:50,Medium,Energy,-0.8,0
79,2/26/2024,Monday,9:45,SME,Property,-2.15,0
80,2/26/2024,Monday,11:30,Large,Technology,1.55,1
81,2/27/2024,Tuesday,10:00,Medium,Retail,0.35,1
82,2/27/2024,Tuesday,15:35,SME,Energy,-1.7,0
83,2/28/2024,Wednesday,9:40,SME,Banking,-2.45,0
84,2/28/2024,Wednesday,14:20,Large,Property,1.4,1
85,2/29/2024,Thursday,10:30,Medium,Technology,0.8,1
86,2/29/2024,Thursday,15:25,SME,Retail,-1.9,0
87,3/1/2024,Friday,11:05,Large,Energy,0.65,1
88,3/1/2024,Friday,14:40,Medium,Banking,-0.85,0
89,3/4/2024,Monday,9:50,SME,Technology,-1.6,0
90,3/4/2024,Monday,13:50,Large,Retail,1,1
91,3/5/2024,Tuesday,10:15,Medium,Property,-0.65,0
92,3/5/2024,Tuesday,15:10,SME,Banking,-2.2,0
93,3/6/2024,Wednesday,11:45,Large,Technology,1.85,1
94,3/6/2024,Wednesday,14:35,Medium,Energy,-0.75,0
95,3/7/2024,Thursday,9:55,SME,Property,-1.5,0
96,3/7/2024,Thursday,13:15,Large,Banking,0.8,1
97,3/8/2024,Friday,10:20,Medium,Retail,0.55,1
98,3/8/2024,Friday,15:30,SME,Energy,-1.85,0
99,3/11/2024,Monday,9:40,SME,Banking,-2,0
100,3/11/2024,Monday,14:05,Large,Property,1.3,1
101,3/12/2024,Tuesday,9:45,SME,Retail,-1.95,0
102,3/12/2024,Tuesday,11:30,Large,Banking,1.2,1
103,3/13/2024,Wednesday,10:05,Medium,Technology,0.65,1
104,3/13/2024,Wednesday,14:40,SME,Property,-1.35,0
105,3/14/2024,Thursday,9:50,SME,Energy,-2.1,0
106,3/14/2024,Thursday,13:15,Large,Retail,0.95,1
107,3/15/2024,Friday,10:25,Medium,Banking,-0.55,0
108,3/15/2024,Friday,15:20,SME,Technology,-1.7,0
109,3/18/2024,Monday,9:35,SME,Property,-2.25,0
110,3/18/2024,Monday,14:00,Large,Energy,1.15,1
111,3/19/2024,Tuesday,10:45,Medium,Retail,0.5,1
112,3/19/2024,Tuesday,15:35,SME,Banking,-2.05,0
113,3/20/2024,Wednesday,9:40,SME,Technology,-1.6,0
114,3/20/2024,Wednesday,14:15,Large,Property,1.3,1
115,3/21/2024,Thursday,10:30,Medium,Energy,0.8,1
116,3/21/2024,Thursday,15:25,SME,Retail,-1.85,0
117,3/22/2024,Friday,11:05,Large,Banking,0.9,1
118,3/22/2024,Friday,14:50,Medium,Technology,-0.75,0
119,3/25/2024,Monday,9:55,SME,Property,-2.1,0
120,3/25/2024,Monday,13:45,Large,Energy,1.55,1
121,3/26/2024,Tuesday,10:15,Medium,Retail,0.35,1
122,3/26/2024,Tuesday,15:10,SME,Energy,-1.95,0
123,3/27/2024,Wednesday,9:50,SME,Banking,-2.35,0
124,3/27/2024,Wednesday,11:55,Large,Technology,1.7,1
125,3/28/2024,Thursday,13:30,Medium,Property,0.75,1
126,3/28/2024,Thursday,15:05,SME,Retail,-1.8,0
127,3/29/2024,Friday,10:20,Large,Banking,0.85,1
128,3/29/2024,Friday,14:45,Medium,Energy,-0.9,0
129,4/1/2024,Monday,9:40,SME,Technology,-1.55,0
130,4/1/2024,Monday,13:35,Large,Retail,1.05,1
131,4/2/2024,Tuesday,10:10,Medium,Banking,-0.65,0
132,4/2/2024,Tuesday,15:15,SME,Property,-2,0
133,4/3/2024,Wednesday,11:45,Large,Energy,0.7,1
134,4/3/2024,Wednesday,14:30,Medium,Technology,0.55,1
135,4/4/2024,Thursday,9:50,SME,Retail,-1.5,0
136,4/4/2024,Thursday,13:20,Large,Banking,1.8,1
137,4/5/2024,Friday,10:25,Medium,Property,0.6,1
138,4/5/2024,Friday,15:35,SME,Energy,-1.75,0
139,4/8/2024,Monday,9:45,SME,Technology,-2.05,0
140,4/8/2024,Monday,14:05,Large,Retail,1.25,1
141,4/9/2024,Tuesday,10:00,Medium,Banking,-0.6,0
142,4/9/2024,Tuesday,15:10,SME,Property,-2.15,0
143,4/10/2024,Wednesday,11:40,Large,Technology,1.9,1
144,4/10/2024,Wednesday,14:35,Medium,Energy,-0.85,0
145,4/11/2024,Thursday,9:55,SME,Retail,-1.65,0
146,4/11/2024,Thursday,13:15,Large,Banking,0.8,1
147,4/12/2024,Friday,10:20,Medium,Property,0.5,1
148,4/12/2024,Friday,15:30,SME,Energy,-1.9,0
149,4/15/2024,Monday,9:40,SME,Banking,-2.1,0
150,4/15/2024,Monday,14:00,Large,Technology,1.35,1
151,4/16/2024,Tuesday,9:35,SME,Retail,-1.8,0
152,4/16/2024,Tuesday,11:20,Large,Banking,1.1,1
153,4/17/2024,Wednesday,10:10,Medium,Technology,0.7,1
154,4/17/2024,Wednesday,14:25,SME,Property,-1.5,0
155,4/18/2024,Thursday,9:45,SME,Energy,-2.05,0
156,4/18/2024,Thursday,13:10,Large,Retail,0.9,1
157,4/19/2024,Friday,10:35,Medium,Banking,-0.6,0
158,4/19/2024,Friday,15:15,SME,Technology,-1.65,0
159,4/22/2024,Monday,9:50,SME,Property,-2.2,0
160,4/22/2024,Monday,14:05,Large,Energy,1.25,1
161,4/23/2024,Tuesday,10:25,Medium,Retail,0.45,1
162,4/23/2024,Tuesday,15:35,SME,Banking,-2,0
163,4/24/2024,Wednesday,9:40,SME,Technology,-1.55,0
164,4/24/2024,Wednesday,14:20,Large,Property,1.35,1
165,4/25/2024,Thursday,10:30,Medium,Energy,0.8,1
166,4/25/2024,Thursday,15:30,SME,Retail,-1.9,0
167,4/26/2024,Friday,11:10,Large,Banking,0.95,1
168,4/26/2024,Friday,14:45,Medium,Technology,-0.85,0
169,4/29/2024,Monday,9:45,SME,Property,-2.05,0
170,4/29/2024,Monday,13:40,Large,Energy,1.6,1
171,4/30/2024,Tuesday,10:15,Medium,Retail,0.4,1
172,4/30/2024,Tuesday,15:05,SME,Energy,-1.85,0
173,5/1/2024,Wednesday,9:50,SME,Banking,-2.3,0
174,5/1/2024,Wednesday,11:55,Large,Technology,1.7,1
175,5/2/2024,Thursday,13:20,Medium,Property,0.75,1
176,5/2/2024,Thursday,15:25,SME,Retail,-1.95,0
177,5/3/2024,Friday,10:20,Large,Banking,0.85,1
178,5/3/2024,Friday,14:50,Medium,Energy,-0.9,0
179,5/6/2024,Monday,9:35,SME,Technology,-1.65,0
180,5/6/2024,Monday,13:15,Large,Retail,1.15,1
181,5/7/2024,Tuesday,10:00,Medium,Banking,-0.7,0
182,5/7/2024,Tuesday,15:10,SME,Property,-2.1,0
183,5/8/2024,Wednesday,11:40,Large,Energy,0.75,1
184,5/8/2024,Wednesday,14:35,Medium,Technology,0.55,1
185,5/9/2024,Thursday,9:55,SME,Retail,-1.55,0
186,5/9/2024,Thursday,13:20,Large,Banking,1.8,1
187,5/10/2024,Friday,10:25,Medium,Property,0.6,1
188,5/10/2024,Friday,15:30,SME,Energy,-1.85,0
189,5/13/2024,Monday,9:40,SME,Technology,-2,0
190,5/13/2024,Monday,14:00,Large,Retail,1.25,1
191,5/14/2024,Tuesday,10:10,Medium,Banking,-0.6,0
192,5/14/2024,Tuesday,15:15,SME,Property,-2.2,0
193,5/15/2024,Wednesday,11:50,Large,Technology,1.85,1
194,5/15/2024,Wednesday,14:40,Medium,Energy,-0.8,0
195,5/16/2024,Thursday,9:45,SME,Retail,-1.7,0
196,5/16/2024,Thursday,13:30,Large,Banking,0.95,1
197,5/17/2024,Friday,10:20,Medium,Property,0.55,1
198,5/17/2024,Friday,15:35,SME,Energy,-1.95,0
199,5/20/2024,Monday,9:50,SME,Banking,-2.1,0
200,5/20/2024,Monday,14:05,Large,Technology,1.4,1
